"","row","column","n_celulas","n_amas","n_cels_infec","mean_ama_cel","n_cels_infec_percentual","composto","conc","pop","ama_noninf","corrected_ama","ama_per_cell"
"1","B",2,494,217,148,0.4393,13,"x",0,"THP-1",217,0,0
"2","C",2,276,115,75,0.4167,13,"x",1.25,"THP-1",115,0,0
"3","D",2,396,178,115,0.4495,13,"x",2.5,"THP-1",178,0,0
"4","E",2,430,225,146,0.5233,13,"x",5,"THP-1",225,0,0
"5","F",2,271,233,120,0.8598,13,"x",10,"THP-1",233,0,0
"6","G",2,155,69,41,0.4452,13,"x",20,"THP-1",69,0,0
"7","G",3,300,684,163,2.28,13,"MILT",20,"REF",233,451,1.50333333333333
"8","F",3,715,1659,423,2.32,13,"MILT",10,"REF",225,1434,2.00559440559441
"9","E",3,726,1128,382,1.554,13,"MILT",5,"REF",217,911,1.25482093663912
"10","D",3,695,1620,387,2.331,13,"MILT",2.5,"REF",178,1442,2.07482014388489
"11","C",3,659,6954,497,10.55,13,"MILT",1.25,"REF",115,6839,10.3778452200303
"12","B",3,858,6064,551,7.068,13,"MILT",0,"REF",69,5995,6.98717948717949
"13","B",4,662,14725,560,22.24,13,"MILT",0,"C6",233,14492,21.8912386706949
"14","C",4,609,14731,533,24.19,13,"MILT",1.25,"C6",225,14506,23.8193760262726
"15","D",4,765,19289,634,25.21,13,"MILT",2.5,"C6",217,19072,24.9307189542484
"16","E",4,868,12278,711,14.15,13,"MILT",5,"C6",178,12100,13.9400921658986
"17","F",4,717,10860,601,15.15,13,"MILT",10,"C6",115,10745,14.9860529986053
"18","G",4,387,3662,307,9.463,13,"MILT",20,"C6",69,3593,9.28423772609819
"19","G",5,495,10006,445,20.21,13,"MILT",20,"C7",233,9773,19.7434343434343
"20","F",5,732,8895,601,12.15,13,"MILT",10,"C7",225,8670,11.844262295082
"21","E",5,713,6498,553,9.114,13,"MILT",5,"C7",217,6281,8.80925666199158
"22","D",5,766,12168,620,15.89,13,"MILT",2.5,"C7",178,11990,15.6527415143603
"23","C",5,761,19649,630,25.82,13,"MILT",1.25,"C7",115,19534,25.6688567674113
"24","B",5,845,18715,655,22.15,13,"MILT",0,"C7",69,18646,22.0662721893491
"25","B",6,788,11338,565,14.39,13,"MILT",0,"C44",233,11105,14.0926395939086
"26","C",6,663,15138,556,22.83,13,"MILT",1.25,"C44",225,14913,22.4932126696833
"27","D",6,697,4516,524,6.479,13,"MILT",2.5,"C44",217,4299,6.16786226685796
"28","E",6,781,2177,509,2.787,13,"MILT",5,"C44",178,1999,2.5595390524968
"29","F",6,729,2950,550,4.047,13,"MILT",10,"C44",115,2835,3.88888888888889
"30","G",6,411,2658,298,6.467,13,"MILT",20,"C44",69,2589,6.2992700729927
"31","G",7,418,2570,316,6.148,13,"MILT",20,"C58",233,2337,5.59090909090909
"32","F",7,675,3322,531,4.921,13,"MILT",10,"C58",225,3097,4.58814814814815
"33","E",7,896,2848,587,3.179,13,"MILT",5,"C58",217,2631,2.93638392857143
"34","D",7,738,9328,576,12.64,13,"MILT",2.5,"C58",178,9150,12.3983739837398
"35","C",7,664,14803,562,22.29,13,"MILT",1.25,"C58",115,14688,22.1204819277108
"36","B",7,601,11684,466,19.44,13,"MILT",0,"C58",69,11615,19.3261231281198
"37","B",8,865,18227,624,21.07,13,"MILT",0,"C67",233,17994,20.8023121387283
"38","C",8,635,14404,502,22.68,13,"MILT",1.25,"C67",225,14179,22.3291338582677
"39","D",8,553,11758,461,21.26,13,"MILT",2.5,"C67",217,11541,20.869801084991
"40","E",8,715,6376,503,8.917,13,"MILT",5,"C67",178,6198,8.66853146853147
"41","F",8,748,3250,546,4.345,13,"MILT",10,"C67",115,3135,4.19117647058824
"42","G",8,514,2840,411,5.525,13,"MILT",20,"C67",69,2771,5.39105058365759
"43","G",9,514,890,272,1.732,13,"MILT",20,"C73",233,657,1.27821011673152
"44","F",9,767,2187,439,2.851,13,"MILT",10,"C73",225,1962,2.55801825293351
"45","E",9,648,2315,363,3.573,13,"MILT",5,"C73",217,2098,3.23765432098765
"46","D",9,793,4852,541,6.119,13,"MILT",2.5,"C73",178,4674,5.89407313997478
"47","C",9,508,8448,410,16.63,13,"MILT",1.25,"C73",115,8333,16.4035433070866
"48","B",9,569,5341,381,9.387,13,"MILT",0,"C73",69,5272,9.26537785588752
"49","B",10,670,7206,424,10.76,13,"MILT",0,"C89",233,6973,10.4074626865672
"50","C",10,600,11949,462,19.92,13,"MILT",1.25,"C89",225,11724,19.54
"51","D",10,708,8680,518,12.26,13,"MILT",2.5,"C89",217,8463,11.9533898305085
"52","E",10,673,1539,336,2.287,13,"MILT",5,"C89",178,1361,2.0222882615156
"53","F",10,539,1559,320,2.892,13,"MILT",10,"C89",115,1444,2.67903525046382
"54","G",10,375,747,209,1.992,13,"MILT",20,"C89",69,678,1.808
"55","G",11,457,1587,321,3.473,13,"MILT",20,"C85",233,1354,2.96280087527352
"56","F",11,491,2275,361,4.633,13,"MILT",10,"C85",225,2050,4.17515274949084
"57","E",11,548,2539,417,4.633,13,"MILT",5,"C85",217,2322,4.23722627737226
"58","D",11,625,6328,491,10.12,13,"MILT",2.5,"C85",178,6150,9.84
"59","C",11,438,10695,374,24.42,13,"MILT",1.25,"C85",115,10580,24.1552511415525
"60","B",11,683,10852,482,15.89,13,"MILT",0,"C85",69,10783,15.787701317716
