row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,90,3,3,0.03333,SbIII,0,THP-1
C,2,112,3,2,0.02679,SbIII,10,THP-1
D,2,72,6,3,0.08333,SbIII,25,THP-1
E,2,53,7,5,0.1321,SbIII,35,THP-1
F,2,74,4,3,0.05405,SbIII,65,THP-1
G,2,37,4,3,0.1081,SbIII,100,THP-1
G,3,39,15,8,0.3846,SbIII,100,C76
F,3,56,65,19,1.161,SbIII,65,C76
E,3,32,41,10,1.281,SbIII,35,C76
D,3,52,124,18,2.385,SbIII,25,C76
C,3,107,534,66,4.991,SbIII,10,C76
B,3,229,2044,166,8.926,SbIII,0,C76
B,4,241,1127,143,4.676,SbIII,0,C44
C,4,119,392,52,3.294,SbIII,10,C44
D,4,62,96,27,1.548,SbIII,25,C44
E,4,91,180,39,1.978,SbIII,35,C44
F,4,52,38,11,0.7308,SbIII,65,C44
G,4,28,22,11,0.7857,SbIII,100,C44
G,5,43,39,16,0.907,SbIII,100,C6
F,5,30,36,12,1.2,SbIII,65,C6
E,5,39,154,23,3.949,SbIII,35,C6
D,5,84,322,51,3.833,SbIII,25,C6
C,5,183,1689,145,9.23,SbIII,10,C6
B,5,220,3596,188,16.35,SbIII,0,C6
B,6,152,457,79,3.007,SbIII,0,C58
C,6,110,358,65,3.255,SbIII,10,C58
D,6,54,65,22,1.204,SbIII,25,C58
E,6,65,146,30,2.246,SbIII,35,C58
F,6,53,28,11,0.5283,SbIII,65,C58
G,6,25,26,7,1.04,SbIII,100,C58
G,7,36,19,10,0.5278,SbIII,100,REF
F,7,67,39,20,0.5821,SbIII,65,REF
E,7,68,100,29,1.471,SbIII,35,REF
D,7,95,185,50,1.947,SbIII,25,REF
C,7,135,465,92,3.444,SbIII,10,REF
B,7,214,1043,132,4.874,SbIII,0,REF
B,8,219,1155,140,5.274,SbIII,0,C67
C,8,153,1034,104,6.758,SbIII,10,C67
D,8,32,85,15,2.656,SbIII,25,C67
E,8,71,220,34,3.099,SbIII,35,C67
F,8,43,14,6,0.3256,SbIII,65,C67
G,8,72,36,17,0.5,SbIII,100,C67
G,9,56,62,18,1.107,SbIII,100,C7
F,9,61,163,29,2.672,SbIII,65,C7
E,9,90,261,47,2.9,SbIII,35,C7
D,9,160,1011,110,6.319,SbIII,25,C7
C,9,182,1432,126,7.868,SbIII,10,C7
B,9,300,2513,209,8.377,SbIII,0,C7
B,10,238,1894,167,7.958,SbIII,0,C73
C,10,118,485,87,4.11,SbIII,10,C73
D,10,112,484,73,4.321,SbIII,25,C73
E,10,105,252,49,2.4,SbIII,35,C73
F,10,54,77,22,1.426,SbIII,65,C73
G,10,49,94,22,1.918,SbIII,100,C73
G,11,59,129,24,2.186,SbIII,100,C85
F,11,93,470,59,5.054,SbIII,65,C85
E,11,93,962,71,10.34,SbIII,35,C85
D,11,183,2010,126,10.98,SbIII,25,C85
C,11,216,2446,166,11.32,SbIII,10,C85
B,11,242,6727,210,27.8,SbIII,0,C85
