"Estimate","Std. Error","t-value","p-value","2.5 %","97.5 %","coef","pop"
1.1355801479771,0.438893025916402,2.58737341657691,0.0180651062285416,0.216966487422023,2.05419380853218,"b","REF"
-0.128339825941474,12.7827440711397,-0.0100400841343006,0.992093979033527,-26.882930648182,26.626250996299,"e","REF"
100.018278974363,8.64467873043032,11.569924353844,4.78699338585853e-10,81.9247584489404,118.111799499786,"b","REF"
0.339826523424164,0.139209851666731,2.44110973006214,0.0246023347148024,0.0484569552750841,0.631196091573244,"e","REF"
0.575786398452061,0.148057508289752,3.88893751558506,0.000790437865465751,0.268733919508968,0.882838877395155,"b","C7"
0.15844669438796,0.0779231631519458,2.03337092565144,0.0542525600184746,-0.00315605503875169,0.320049443814672,"e","C7"
0.733886968568203,0.261222710476953,2.80943018785862,0.0125939026294772,0.180119560351171,1.28765437678524,"b","C6"
0.287506225649077,0.15804484490188,1.8191433312967,0.0876540564107441,-0.0475338785730209,0.622546329871174,"e","C6"
0.641056310854511,0.15602106686308,4.10878045986628,0.000500955560244485,0.316592740136868,0.965519881572155,"b","C44"
0.0625305664271743,0.0319673050600118,1.95607875952591,0.0638884425333151,-0.00394908375425954,0.129010216608608,"e","C44"
0.996260639955192,0.424121043328951,2.34900072897936,0.040709955760498,0.0512600653690023,1.94126121454138,"b","C58"
0.484765180199382,0.244524933269923,1.98247750737249,0.0755606240988547,-0.0600703238986854,1.02960068429745,"e","C58"
0.509676987587127,0.150812795330611,3.37953412023042,0.00269994060124373,0.19691039305565,0.822443582118603,"b","C67"
0.0734594961079716,0.0532345485720088,1.37992146225501,0.181474701287269,-0.0369422004575463,0.183861192673489,"e","C67"
0.879410430315421,0.184629645072332,4.7631052422318,0.000251456688728415,0.485881657229137,1.27293920340171,"b","C73"
0.10767938070309,0.0304795410371452,3.53284127775618,0.00301346876475658,0.0427137768105962,0.172644984595583,"e","C73"
0.611901655471217,0.142091837235549,4.30638147395371,0.0003122909505185,0.316405503533376,0.907397807409057,"b","C85"
0.0573716214570913,0.0296849072135217,1.93268656844439,0.066874126046649,-0.00436152256360502,0.119104765477788,"e","C85"
